company_name,stock_code,matched_keyword,source_section,start_position,end_position,candidate_text_path,status,error_message
迅安科技,920950,投资协议,,132070,133269,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE001_920950_candidates.txt,success,
迅安科技,920950,私募基金、创业投资,,14736,15722,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE001_920950_candidates.txt,success,
迅安科技,920950,认购,,27896,28213,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE001_920950_candidates.txt,success,
迅安科技,920950,认购,,29684,30562,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE001_920950_candidates.txt,success,
迅安科技,920950,私募基金,,32960,33836,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE001_920950_candidates.txt,success,
利尔达,920249,股权转让、历史沿革,,113696,114470,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE002_920249_candidates.txt,success,
利尔达,920249,历史沿革、增资、认购,,75788,76695,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE002_920249_candidates.txt,success,
利尔达,920249,股权转让、认购,,65163,66086,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE002_920249_candidates.txt,success,
利尔达,920249,历史沿革,,63412,64260,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE002_920249_candidates.txt,success,
利尔达,920249,股权转让,,64260,65163,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE002_920249_candidates.txt,success,
利尔达,920249,股东情况,,62362,63412,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE002_920249_candidates.txt,success,
利尔达,920249,增资、认购,,74860,75788,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE002_920249_candidates.txt,success,
利尔达,920249,认购,,53112,53889,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE002_920249_candidates.txt,success,
*ST康乐,920575,股权转让、历史沿革,,87007,87965,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE003_920575_candidates.txt,success,
*ST康乐,920575,股权转让、股东情况,,51157,52068,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE003_920575_candidates.txt,success,
*ST康乐,920575,股权转让、增资、认购,,56363,57182,outputs\week3_sample_outputs\candidate_texts\W3-2023-BSE003_920575_candidates.txt,success,
